team_id,player_id,game_pk,batting_order,plate_appearances,total_bases,caught_stealing,stolen_bases,stolen_base_percentage,pickoffs,summary,fly_outs,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,at_bats,ground_into_double_play,ground_into_triple_play,rbi,left_on_base,sac_bunts,sac_flies,catchers_interference,at_bats_per_home_run
145,543257,745916,2,4,1,0,0,.---,0,1-4 | K,1,1,1,0,0,0,0,1,0,0,1,0,4,0,0,0,3,0,0,0,-.--
145,650391,745916,3,4,1,0,0,.---,0,1-4 | K,0,1,1,0,0,0,0,1,0,0,1,0,4,0,0,0,1,0,0,0,-.--
145,657757,745916,4,4,1,0,0,.---,0,1-4 | 2 K,1,0,1,0,0,0,0,2,0,0,1,0,4,0,0,0,1,0,0,0,-.--
145,683734,745916,5,4,1,0,0,.---,0,1-4 | K,0,1,1,0,0,0,0,1,0,0,1,0,4,0,0,0,3,0,0,0,-.--
145,657557,745916,6,4,0,0,0,.---,0,0-4 | 3 K,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,0,-.--
145,666150,745916,7,4,0,0,0,.---,0,"0-3 | BB, K",0,1,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,-.--
145,664901,745916,8,4,2,0,0,.---,0,2-4,2,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,-.--
145,686676,745916,9,4,0,0,0,.---,0,0-4 | 2 K,0,1,1,0,0,0,0,2,0,0,0,0,4,0,0,0,4,0,0,0,-.--
142,666135,745916,1,4,1,0,0,.---,0,1-4 | R,1,2,1,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,-.--
142,666397,745916,2,4,7,0,0,.---,0,"3-4 | HR, 2B, K",0,0,0,2,1,0,1,1,0,0,3,0,4,0,0,2,0,0,0,0,4
142,663616,745916,3,4,2,0,0,.---,0,"1-2 | 2B, 2 BB, K",0,0,0,2,1,0,0,1,2,0,1,0,2,0,0,1,1,0,0,0,-.--
142,680777,745916,4,4,1,0,0,.---,0,1-4 | R,0,1,2,1,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,-.--
142,596146,745916,5,4,3,0,0,.---,0,"2-4 | 2B, 3 RBI, R",1,1,1,1,1,0,0,0,0,0,2,0,4,0,0,3,1,0,0,0,-.--
142,650489,745916,6,4,3,0,0,.---,0,"2-4 | 2B, K, RBI",0,1,0,0,1,0,0,1,0,0,2,0,4,0,0,1,2,0,0,0,-.--
142,467793,745916,7,4,1,0,0,.---,0,1-4 | K,0,1,1,0,0,0,0,1,0,0,1,0,4,0,0,0,2,0,0,0,-.--
142,669304,745916,8,4,0,0,0,.---,0,0-4 | K,1,2,1,0,0,0,0,1,0,0,0,0,4,1,0,0,1,0,0,0,-.--
142,668885,745916,9,4,0,0,0,.---,0,0-4 | K,0,3,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,-.--
109,606466,745191,1,5,1,0,0,.---,0,"1-3 | BB, K, RBI",1,1,1,0,0,0,0,1,1,0,1,0,3,0,0,1,0,0,1,0,-.--
109,682998,745191,2,5,1,0,0,.---,0,1-5 | K,1,0,3,0,0,0,0,1,0,0,1,0,5,0,0,0,2,0,0,0,-.--
109,666971,745191,3,5,1,0,0,.---,0,1-5 | 2 K,0,2,0,0,0,0,0,2,0,0,1,0,5,0,0,0,4,0,0,0,-.--
109,572233,745191,4,5,0,0,0,.---,0,"0-4 | BB, 2 K, R",0,0,2,1,0,0,0,2,1,0,0,0,4,0,0,0,2,0,0,0,-.--
109,592626,745191,5,4,3,0,0,.---,0,"2-3 | 2B, BB, K",0,0,0,1,1,0,0,1,1,0,2,0,3,0,0,0,0,0,0,0,-.--
109,553993,745191,6,4,5,0,0,.---,0,"3-4 | 2 2B, 2 RBI, R",0,1,0,1,2,0,0,0,0,0,3,0,4,0,0,2,1,0,0,0,-.--
109,672515,745191,7,4,0,0,0,.---,0,"0-3 | HBP, 2 K",0,1,0,0,0,0,0,2,0,0,0,1,3,0,0,0,3,0,0,0,-.--
109,664983,745191,8,4,1,0,0,.---,0,1-3 | BB,2,0,2,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,0,0,-.--
109,621028,745191,9,4,0,0,0,.---,0,0-4 | 2 K,0,2,0,0,0,0,0,2,0,0,0,0,4,1,0,0,4,0,0,0,-.--
138,680977,745191,1,4,0,0,0,.---,0,0-3 | BB,1,1,2,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,-.--
138,575929,745191,2,4,0,0,0,.---,0,0-4 | 2 K,1,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,3,0,0,0,-.--
138,663457,745191,3,4,1,0,0,.---,0,1-4 | 2 RBI,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,-.--
138,571448,745191,4,4,1,0,0,.---,0,1-4,0,2,1,0,0,0,0,0,0,0,1,0,4,1,0,0,2,0,0,0,-.--
138,502671,745191,5,4,5,0,0,.---,0,"2-4 | HR, K, RBI",1,0,1,2,0,0,1,1,0,0,2,0,4,0,0,1,1,0,0,0,4
138,676475,745191,6,3,1,0,0,.---,0,1-3,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,-.--
138,671056,745191,7,3,0,0,0,.---,0,0-3 | 2 K,0,1,0,0,0,0,0,2,0,0,0,0,3,1,0,0,2,0,0,0,-.--
138,691026,745191,8,3,1,0,1,1,0,"1-2 | BB, R, SB",1,0,1,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,-.--
138,672279,745191,9,3,0,0,0,.---,0,"0-1 | 2 BB, R",0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,-.--
135,593428,746565,1,5,0,0,1,1,0,"0-4 | BB, SB",1,3,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,-.--
135,665487,746565,2,5,3,0,0,.---,0,"1-3 | 3B, 2 BB, K",1,0,1,0,0,1,0,1,2,0,1,0,3,0,0,0,1,0,0,0,-.--
135,630105,746565,3,5,0,0,0,.---,0,0-5,3,1,4,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,-.--
135,595777,746565,4,4,1,0,0,.---,0,"1-3 | BB, K, RBI",1,0,1,0,0,0,0,1,1,0,1,0,3,0,0,1,2,0,0,0,-.--
135,673490,746565,5,4,0,0,0,.---,0,0-4,1,2,2,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,-.--
135,669134,746565,6,4,4,0,0,.---,0,"2-4 | 2 2B, K, R",0,1,0,1,2,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,-.--
135,666703,746565,7,3,1,0,0,.---,0,1-3,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,-.--
135,701538,746565,8,4,2,0,0,.---,0,2-4 | RBI,2,0,2,0,0,0,0,0,0,0,2,0,4,0,0,1,2,0,0,0,-.--
135,640492,746565,9,4,1,0,0,.---,0,"1-4 | 3 K, R",0,0,0,1,0,0,0,3,0,0,1,0,4,0,0,0,2,0,0,0,-.--
